VFGID,VFID,VFCID
VFG000923,VF0228,VFC0272
VFG000924,VF0228,VFC0272
VFG000925,VF0228,VFC0272
VFG000926,VF0228,VFC0272
VFG000927,VF0228,VFC0272
VFG000928,VF0228,VFC0272
VFG000929,VF0228,VFC0272
VFG000930,VF0228,VFC0272
VFG000931,VF0228,VFC0272
VFG000932,VF0228,VFC0272
VFG000933,VF0228,VFC0272
VFG000934,VF0228,VFC0272
VFG000935,VF0230,VFC0272
VFG000936,VF0229,VFC0272
VFG000937,VF0229,VFC0272
VFG000938,VF0229,VFC0272
VFG000939,VF0229,VFC0272
VFG000940,VF0229,VFC0272
VFG000942,VF0223,VFC0001
VFG000943,VF0223,VFC0001
VFG000944,VF0223,VFC0001
VFG000945,VF0223,VFC0001
VFG000946,VF0223,VFC0001
VFG000949,VF1039,VFC0001
VFG000950,VF0242,VFC0258
VFG000951,VF0248,VFC0235
VFG000952,VF0248,VFC0235
VFG000954,VF0248,VFC0235
VFG000955,VF0242,VFC0258
VFG000956,VF1068,VFC0251
VFG000957,VF0248,VFC0235
VFG000958,VF0248,VFC0235
VFG000959,VF0243,VFC0001
VFG000960,VF0254,VFC0346
VFG000961,VF0284,VFC0258
VFG000962,VF0244,VFC0258
VFG000963,VF0244,VFC0258
VFG000964,VF0244,VFC0258
VFG000965,VF1107,VFC0251
VFG000966,VF1107,VFC0251
VFG000967,VF1107,VFC0251
VFG000968,VF0242,VFC0258
VFG000969,VF0252,VFC0251
VFG000970,VF0252,VFC0251
VFG000971,VF0252,VFC0251
VFG000972,VF0255,VFC0258
VFG000973,VF0249,VFC0251
VFG000974,VF0245,VFC0001
VFG000975,VF0247,VFC0251
VFG000976,VF0250,VFC0235
VFG000977,VF0251,VFC0235
VFG000978,VF0248,VFC0235
VFG000979,VF0248,VFC0235
VFG000980,VF0248,VFC0235
VFG000981,VF0248,VFC0235
VFG000982,VF0248,VFC0235
VFG000983,VF0265,VFC0235
VFG000984,VF0978,VFC0086
VFG000985,VF0118,VFC0086
VFG000986,VF0118,VFC0086
VFG000987,VF0118,VFC0086
VFG000988,VF0118,VFC0086
